gene_names,Hox_2,Hox_10,Hox_1,Hox_13,Hox_14,Hox_7,Hox_11,Hox_15,Hox_3,Hox_9,Hox_4,Hox_12,Hox_8,Hox_5,Hox_6,No_hox_3,No_hox_5,No_hox_14,No_hox_15,No_hox_10,No_hox_7,No_hox_12,No_hox_2,No_hox_4,No_hox_11,No_hox_1,No_hox_13,No_hox_6,No_hox_8,No_hox_9
grn,7.160254979037758,7.019700436247611,7.160060734360061,7.108613767103921,7.15363196000566,7.019318532334592,7.230644388366839,7.135894021150551,7.092778629057921,6.973027500688096,7.072416228177655,7.105242955675679,7.0369045963096815,7.108729189376806,7.215371787186939,6.990079931124978,7.1242961454095415,6.742034096670386,7.08527185143678,7.06314727467168,7.200890760938293,7.032895704628227,6.779622372095277,6.862715930611108,7.138942421155701,7.007256870767055,6.859144551155615,7.001967174067657,6.776841591134485,7.136632420978419
kay,4.872216354882996,4.917362706409633,5.103229012921087,5.013819307963454,4.988152423573209,5.013500115262928,5.004081895696236,4.922905048234004,4.938061080804033,4.968382981678248,4.9146844666655385,4.919902291850034,5.016822807039087,5.06158843879003,4.954197151756731,4.754645750184552,4.732546111277059,4.61467109637263,4.766605821619809,4.868886765833776,4.682860792144655,4.7419682894285815,5.026723432893264,5.159479057889438,4.698024089177053,4.978271167668355,4.945641127043788,4.782390358203593,4.801140703812535,4.751774355307878
Fer3,2.6822844205978806,2.439647386821553,2.7399408469231616,2.5282205785293055,3.0908963188850263,3.0464358645893252,2.9854908291250575,2.664699331405918,2.997085811193714,2.8947164096150875,2.5844938681837597,2.772945400474583,2.5397790330039896,2.9504229023412187,2.2065907174458856,1.6915318368148713,2.0839967213828334,1.1697582293950897,2.2649961496469184,2.0539612368361797,2.9562730182698838,2.461519432452304,2.4565309477633046,2.7247848801804007,2.0180724549638005,2.7492771564504705,2.6164726423178792,1.6686627453089409,1.9946938971663684,2.2683416807259555
TC002961,5.9487026507757435,6.0342461429499075,5.922736359146019,5.959737369124743,5.899744679259122,6.026924497058186,6.015712443645592,6.0132777221061104,5.960326366510146,5.958840650366014,5.978952292853066,6.027301713567604,5.956709251496818,6.027145767513839,5.996217166325503,5.979071078350115,5.924084129764329,5.72131548155445,6.002659997191812,5.762913241719629,5.925956862612556,5.963986644147353,6.0328627295417,5.96590798302679,5.873413457032263,5.833935915701,5.833184004478314,5.893371396659291,5.8766072997898515,5.6206246156311215
Ptx1,4.497080672325171,4.706795566448834,4.637996152439283,4.680001734071008,4.586090642621852,4.719324657955179,4.786541865160746,4.493975442588658,4.570350307803288,4.823050399971499,4.453045869047358,4.764685615403932,4.7446385743031065,4.6003855607977,4.68655510059168,4.773531449032545,4.885438281449206,4.1807546280656815,4.392441703324787,4.266244929947577,4.498170987782222,3.960213498353197,4.574489258784229,4.796893605298884,4.0524746818584365,4.735059648444287,4.197973834928042,4.3351800758770125,4.566941623861233,4.0485075266426005
TC012748,4.857730142906286,4.584477620004332,4.677887989011769,4.827141057701668,4.679662056125222,4.7461672354387865,4.828753866971746,4.685549973472501,4.841563853735122,4.572942955981791,4.683348717696331,4.641456918773434,4.537756135790243,4.50740922559158,4.632512901734538,4.494861632715864,4.623568416420198,4.277760519754061,4.60774194075449,4.266244929947577,4.571483691392202,4.273455751978052,4.678818085997079,4.5716092942708295,4.0524746818584365,4.438024015661814,4.197973834928042,4.277133170871446,4.373440946064904,4.422471892252148
net,3.78880076369882,3.646082758288731,3.5038498102979987,3.663823467366794,3.6761514541979903,3.8066925683350092,3.5902436593081792,3.5841278483566312,3.6185700839683275,3.650074763049079,3.6194164575251415,3.9167613407104382,3.54470257412931,3.391731830295813,3.3693156633132655,3.5951815158700042,2.712908322954073,3.3970480766744773,3.5075547460706598,3.555166991878981,3.168959604468041,3.0106552456316513,3.105866333412221,2.9614231824818327,3.6924443624586485,2.8747796425243535,3.6094983837262573,3.833049549913753,3.4888957623793453,3.791364128647769
exd,6.237263650751106,6.216168403108592,6.209122453936057,6.235405677858765,6.196291345827889,6.237523452689096,6.243402751399795,6.325408500847346,6.2402006833422545,6.2772583130687885,6.26139114519363,6.267461676074578,6.259943929269837,6.244675281642944,6.221936317618235,6.21285905579362,6.019721368181132,6.280566797939563,6.146497821554087,6.253770971243159,6.05152134063164,6.102694076959053,6.12095261606652,6.189582885036329,6.216922716041306,5.986793824430666,6.117030049920046,6.206743079493156,6.2240888645422014,6.068430885241523
tara,5.799670685724524,5.8198402202176505,5.874017518299633,5.857719439907664,5.758354763728106,5.8932872858144405,5.901667288755781,5.934752743089018,5.798396653866188,5.900824710776541,5.896340113237267,5.86560728486004,5.768358727923643,5.870552037471301,5.871622272389429,5.815019856950244,5.818323730483508,5.74290678874369,5.714023400669629,5.770008425942292,5.694322753831401,5.789860275236266,5.702447463924548,5.641872754518728,5.647911585517675,5.927309896732555,5.839357895939314,5.773705309795333,5.743476438834152,5.887573914619015
TC011745,2.9608544039902167,3.449880881772584,3.610418498147071,3.430616130300725,2.707907314293679,2.787969443089807,3.536988672608728,3.4022413226162858,2.7186402085291355,2.9206192730363245,3.417942274256818,3.196483724467653,3.230325567375921,3.4210321869037994,2.8970451446679526,3.1415170912758184,1.7388888569601049,3.044090141735717,1.1498666774699993,3.063213237196776,0.0,2.461519432452304,2.254593901559752,2.213168685320701,1.6769480723662928,2.438072620782304,2.6164726423178792,3.505197457629028,2.449560498013515,2.908360385668942
