goslim,GMC,Midline_NBs,NBs I,NBs II/INPs,NBs II/INPs/newborn neurons_1?,NBs II/INPs/newborn neurons_2?,Sensory NBs
Binding activity,0.5292901084788234,0.0,0.2460378239100905,1.0,0.5533988350097035,0.06131475829565431,0.04923669535062909
Cell cycle,0.0,0.0,0.0,0.01265041946161138,0.0,0.0,0.0
Enzyme activity,0.04770223505533756,0.0,0.02130175740476852,0.07608553257620433,0.025509132144298997,0.0,0.0
Neuronal process,0.07116148114295275,0.0,0.0,0.0148198242581067,0.12207665644556111,0.0,0.0
Other,0.4642419751591288,0.0016727341950027602,0.23099119768172854,0.8572525923107065,0.4138697250166469,0.06684264226158966,0.019429724930596918
