goslim,GMC,Midline_NBs,NBs I,NBs II/INPs,NBs II/INPs/newborn neurons_1?,NBs II/INPs/newborn neurons_2?,Sensory NBs
Cell cycle,0.12089517417724444,0.0,0.19498850441261117,0.23944008916874923,0.4196645673341557,0.0,0.06907710750820399
Development,0.44181792137100306,0.0458119337399401,0.1254746150709931,0.6897698088850037,1.0,0.08720103848872544,0.12495487298910884
Enzyme activity,0.0795701230116868,0.0,0.0,0.08044291189976838,0.030038191732238786,0.0,0.0
Immune response,0.0,0.0,0.0,0.018148643989671254,0.0,0.0,0.0
Metabolism,0.31811217139370257,0.0,0.2509137327895433,0.4995685703930512,0.27516442731401,0.06763893399296647,0.04769535079726758
Neuronal process,0.5150243710065727,0.028200772353551864,0.018836745723830726,0.4996097832248111,0.6926981163461958,0.03155504513560494,0.05740458882984456
Other,0.6692486681358568,0.05897844408584593,0.2744049427860034,0.7479201997736453,0.969833178090909,0.08151204897908365,0.12484073802829937
Transport activity,0.03136676402690904,0.0,0.03925172377352207,0.0,0.016607146679759478,0.0,0.0
